Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,156.360001,161.460007,154.639999,161.210007,157.006027,566800
2020-03-03,161.210007,163.580002,156.119995,156.729996,152.642853,528200
2020-03-04,157.580002,160.645004,155.539993,160.380005,156.197678,624600
2020-03-05,155.610001,157.250000,153.119995,154.190002,150.169083,630000
2020-03-06,152.270004,153.289993,149.300003,152.179993,148.211502,855100
2020-03-09,141.169998,145.309998,137.179993,137.729996,134.138321,1259500
2020-03-10,145.889999,147.445007,141.369995,146.339996,142.523804,949900
2020-03-11,146.350006,147.380005,140.360001,143.039993,139.309845,840300
2020-03-12,132.949997,134.910004,128.240005,129.990005,126.600182,1288900
2020-03-13,143.929993,143.929993,132.669998,142.279999,138.569672,789700
2020-03-16,129.360001,139.679993,127.730003,129.320007,125.947655,1404500
2020-03-17,139.009995,139.970001,133.059998,136.610001,133.047531,1493700
2020-03-18,134.110001,138.600006,130.199997,134.050003,130.554306,1276700
2020-03-19,135.970001,139.490005,133.149994,136.699997,133.135178,1058700
2020-03-20,137.419998,147.990005,137.179993,139.559998,135.920609,784500
2020-03-23,132.809998,137.619995,129.500000,129.500000,126.122948,761200
2020-03-24,140.789993,149.979996,138.960007,144.949997,141.170044,574700
2020-03-25,149.339996,156.940002,147.979996,154.059998,150.042480,1378400
2020-03-26,151.649994,157.770004,151.199997,157.179993,153.081116,711900
2020-03-27,152.610001,154.070007,149.479996,150.029999,146.117569,619700
2020-03-30,151.210007,154.429993,150.500000,154.289993,150.266495,343600
2020-03-31,152.449997,156.449997,151.509995,152.570007,148.591354,562300
2020-04-01,152.720001,153.029999,147.020004,148.449997,144.578751,572900
2020-04-02,146.330002,148.259995,141.539993,141.850006,138.150894,729600
2020-04-03,139.100006,140.690002,134.240005,134.830002,131.313950,693900
2020-04-06,139.869995,147.179993,138.910004,147.009995,143.176315,547100
2020-04-07,150.550003,151.419998,146.000000,146.479996,142.660141,514100
2020-04-08,150.690002,155.000000,150.050003,154.009995,149.993790,345600
2020-04-09,154.000000,158.600006,152.839996,157.039993,152.944763,331200
2020-04-13,157.479996,157.600006,152.509995,153.419998,149.419159,192000
2020-04-14,155.559998,157.110001,154.440002,155.759995,151.698135,400400
2020-04-15,152.850006,153.259995,150.000000,150.600006,146.672729,271700
2020-04-16,154.720001,156.199997,151.990005,154.300003,150.276215,145800
2020-04-17,162.889999,163.389999,160.574997,161.339996,157.132614,484700
2020-04-20,158.990005,159.309998,156.630005,157.009995,154.089325,215400
2020-04-21,158.339996,159.020004,153.089996,153.149994,150.301117,337700
